x, y, theta, stamp, 
-3.0138552056256507, -1.416395030973026, -2.6070400099973683, 21354000000, 
-3.033164695120263, -1.4278267430743774, -2.6070657399653254, 21456000000, 
-3.0524747723763324, -1.4392581956035648, -2.607088039386088, 21558000000, 
-3.0717852980480815, -1.450689397009186, -2.6071075341039154, 21660000000, 
-3.0910959215960134, -1.462120191335584, -2.607124702475435, 21762000000, 
-3.110406472159304, -1.473550532849588, -2.607139798110796, 21864000000, 
-3.123280177471814, -1.4811705628535146, -2.607149055738856, 21932000000, 
-3.142590935218323, -1.4926004427352895, -2.607161280826018, 22034000000, 
-3.1619020016228365, -1.5040302101361398, -2.607172125125363, 22136000000, 
-3.1812132841304663, -1.5154598360094285, -2.607181699823972, 22238000000, 
-3.2005246248720143, -1.526889259799446, -2.6071901259635353, 22340000000, 
-3.219835910061101, -1.5383184389088722, -2.607197081579147, 22442000000, 
-3.2391472590160877, -1.5497474802964921, -2.6072035000865412, 22544000000, 
-3.2584587595526413, -1.5611764435621036, -2.607209219436411, 22646000000, 
-3.2777703539547023, -1.5726053165628373, -2.6072142436948345, 22748000000, 
-3.2970819296383156, -1.584034048103866, -2.607218710065037, 22850000000, 
-3.3163935673881513, -1.5954626991203589, -2.6072226931317593, 22952000000, 
-3.335705298770557, -1.6068912993205038, -2.6072262010326166, 23054000000, 
-3.3550170144332303, -1.6183197967290885, -2.6072293086877782, 23156000000, 
-3.374328801032586, -1.629748252536953, -2.607232031947746, 23258000000, 
-3.3936406044456997, -1.641176647125471, -2.607234365784353, 23360000000, 
-3.41295240782004, -1.6526049773519262, -2.6072364248793485, 23462000000, 
-3.425826993199536, -1.6602238618468284, -2.607237688999749, 23530000000, 
-3.445138899319969, -1.6716521641679591, -2.607239347248299, 23632000000, 
-3.4644507590985274, -1.6830803940223267, -2.607240804139921, 23734000000, 
-3.4837626939146737, -1.6945086263659659, -2.6072420443673328, 23836000000, 
-3.5030745961005856, -1.7059368059742357, -2.6072430794631907, 23938000000, 
-3.522386508407477, -1.717364966180371, -2.6072440223418734, 24040000000, 
-3.541698500839781, -1.7287931441791258, -2.6072448775805936, 24142000000, 
-3.5610104510607647, -1.7402212752729784, -2.6072455966494927, 24244000000, 
-3.580322378142764, -1.7516493728619225, -2.6072462161070287, 24346000000, 
-3.5996343770011374, -1.7630774971181167, -2.6072467643501516, 24448000000, 
-3.618946371389422, -1.7745056047933148, -2.607247236999531, 24550000000, 
-3.638258314420783, -1.7859336682043765, -2.607247639827014, 24652000000, 
-3.6575703054629227, -1.7973617520302594, -2.6072479230076926, 24754000000, 
-3.6704450023020327, -1.804980490792593, -2.607248080758243, 24822000000, 
-3.689756993104796, -1.8164085637807743, -2.607248261014059, 24924000000, 
-3.7090689466886753, -1.827836611393359, -2.607248402616754, 25026000000, 
-3.72838096890445, -1.8392646959724044, -2.607248473729873, 25128000000, 
-3.747692974036416, -1.8506927689638284, -2.6072484548764274, 25230000000, 
-3.7670049507768195, -1.8621208266442886, -2.607248389511062, 25332000000, 
-3.786316962730543, -1.8735489095238043, -2.6072482888458595, 25434000000, 
-3.805628917783762, -1.88497696277602, -2.607248160188257, 25536000000, 
-3.8249409148019384, -1.8964050431916766, -2.607247959472926, 25638000000, 
